ACTIVIDADES	PRODUCTO ASOCIADO
1. Diseñar prototipos de interfaz para módulo de gestión de tareas.	Documento PDF con mockups y guía de interacción.
2. Implementar componente de exportación de reportes a CSV/TSV.	Archivo de ejemplo CSV y nota técnica.
3. Escribir pruebas unitarias para componentes de interfaz.	Informe PDF con casos de prueba y resultados simulados.
4. Crear plantilla de diseño de modelo de datos.	Documento técnico en PDF con diagramas de ejemplo.
5. Desarrollar vista de informes consolidados.	Demo HTML y archivo CSV de muestra.
6. Crear scripts de despliegue para entorno de pruebas.	Guía en Markdown y versión de ejemplo.
7. Redactar manual de usuario para nueva funcionalidad.	Manual PDF con capturas y descripciones.
8. Realizar auditoría de accesibilidad básica.	Checklist y reporte con recomendaciones.
9. Consolidar evidencias parciales de avance.	Paquete ZIP con entregables de muestra y resumen.
10. Ejecutar pruebas de integración entre módulos.	Registro de resultados y plan de mitigación.
11. Generar acta de validación interna.	Acta de aceptación en PDF.
12. Mantener registro de cambios del proyecto.	CHANGELOG.md con entradas de ejemplo.
